,absolutely,adapter,advertised,alright,amazing,android,anker,anti,apple,apply,armor,attractive,audio,awesome,backup,bad,basic,batteries,battery,beat,beautiful,best,better,big,bit,black,blue,bluetooth,bought,box,broke,bubbles,built,bulk,bulky,buttons,buy,cable,cables,came,capacity,car,case,cases,cell,charge,charger,chargers,charges,charging,cheap,clear,color,colors,combo,comfortable,commuter,compact,convenient,cool,cord,cost,cover,covers,customer,cute,day,deal,decent,defender,described,design,designed,device,devices,did,didn,disappointed,dock,does,doesn,don,dont,dual,durable,ear,easily,easy,effective,exactly,excellent,expected,expensive,external,extra,fake,fantastic,far,fast,favorite,feel,feels,finally,fine,fit,fits,flip,functional,galaxy,genuine,gets,gift,glare,good,got,great,grip,hands,handy,happy,hard,hate,hd,headphones,headset,heavy,high,highly,holder,holster,horrible,htc,hybrid,idea,impressed,inexpensive,install,ipad,iphone,issues,item,job,junk,just,lg,life,light,like,little,long,look,looking,looks,lot,lots,love,loved,loves,low,mah,makes,market,matte,micro,mini,mirror,mobile,money,months,motorola,mount,need,needed,needs,new,nexus,nice,note,oem,ok,okay,ordered,original,otter,otterbox,outstanding,overall,owned,pack,pay,pen,perfect,perfectly,phone,phones,pink,plantronics,plastic,plug,poor,port,portable,ports,power,powerful,premium,pretty,price,problem,problems,product,products,protect,protection,protective,protector,protectors,protects,purchase,purchased,quality,quick,quickly,quite,read,real,really,recommend,recommended,reliable,replacement,review,right,rugged,samsung,satisfied,saver,says,scratches,screen,second,series,service,set,short,simple,size,sleek,slim,slippery,small,solid,solution,sound,spigen,star,stars,strong,sturdy,style,stylish,stylus,super,sure,tablet,tech,terrible,thing,thought,time,touch,tough,travel,trent,tried,usb,use,used,useful,using,value,ve,wall,want,wanted,waste,way,white,wife,wireless,wonderful,work,worked,working,works,worth,wow,wrong,year,yes
20,0,0,0,1,1,0,0,0,0,1,0,0,0,6,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,3,0,3,0,0,1,0,1,0,0,0,4,1,3,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,29,0,24,0,0,0,0,2,3,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,3,2,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,9,0,0,3,0,14,4,1,0,0,2,0,0,0,0,0,4,3,0,0,0,1,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,3,0,0,0,1,1,1,0,10,2,0,0,0,0
21,0,1,4,0,7,0,0,0,0,0,0,0,0,11,9,1,0,1,56,1,0,13,4,10,0,0,0,0,4,0,0,0,1,0,2,0,2,0,0,0,10,2,1,0,1,8,36,1,3,9,0,0,0,0,0,0,0,2,2,1,0,1,0,0,2,0,2,2,1,0,1,0,1,8,8,1,0,0,0,4,0,1,1,2,0,0,0,3,0,4,18,1,0,19,1,0,5,4,3,0,0,0,0,1,0,1,0,0,2,0,0,2,0,13,0,76,0,1,2,1,0,0,0,0,0,3,2,3,0,0,0,0,0,1,0,0,0,2,1,1,4,2,0,4,0,2,0,2,8,6,2,4,1,2,13,10,0,1,1,6,1,2,0,0,0,0,5,1,1,0,0,10,2,0,17,0,6,1,0,1,0,0,0,0,0,0,1,2,16,0,0,3,0,7,2,0,0,0,1,0,0,15,1,33,6,0,0,4,0,0,28,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,1,2,1,1,2,0,0,0,1,0,3,0,0,2,0,3,0,0,1,3,1,0,0,8,2,0,0,0,0,2,0,1,0,0,0,2,0,3,0,1,1,0,1,0,0,5,17,0,3,5,0,2,0,1,2,2,0,0,0,4,0,1,0,0,2,0,0,15,3,1,0,0,0
22,0,0,0,0,1,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,5,1,0,5,0,0,0,0,0,1,1,0,0,1,0,0,3,2,0,0,1,0,0,0,0,2,11,0,24,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,7,0,0,2,0,19,7,0,0,1,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4,1,0,12,2,0,0,2,0
23,0,0,1,0,1,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,3,10,2,1,0,1,1,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,89,8,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,1,0,0,7,0,0,1,0,1,2,0,0,5,0,0,0,0,1,0,0,2,1,3,0,0,0,0,2,0,0,2,3,0,0,0,0,0,1,3,0,4,3,1,1,0,13,4,0,0,0,0,0,0,0,20,0,38,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25,0,0,1,0,3,0,1,2,6,1,1,4,3,8,0,0,22,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,23,0,0,3,3,0,0,0,0,0,0,0,0,0,0,20,0,11,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,0,8,1,3,16,0,2,0,3,0,0,1,0,1,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,21,2,0,1,0,0,0,0,4,1,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0,0,0,2,1,0,0,0,0,0,0,2,3,0,3,0,0,2,3,0,6,3,2,0,0,1,7,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,1,1,0,2,2,3,0,0,0,5,0,0,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,15,0,23,0,0,0,0,1,0,1,6,19,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,7,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,6,0,0,4,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,17,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,6,1,0,0,0,0
25,0,0,2,0,9,0,0,65,0,2,0,0,0,13,0,6,1,0,0,2,0,8,3,0,1,0,0,0,1,0,0,11,0,0,0,0,5,0,0,1,0,0,2,1,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,18,6,2,0,0,3,2,0,3,0,0,0,1,4,3,6,0,14,3,2,3,0,0,0,3,9,0,1,6,3,0,0,1,0,3,0,1,1,1,1,0,5,6,6,0,0,0,0,1,3,43,77,1,95,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,4,0,35,0,6,6,1,6,0,1,0,7,1,2,1,1,3,0,1,32,3,1,0,0,0,1,27,0,0,0,0,3,1,0,0,1,3,0,0,0,21,0,0,8,11,1,0,0,0,0,0,0,1,6,0,18,2,12,1,0,0,1,0,4,0,0,0,0,0,0,0,20,2,0,37,0,3,7,4,55,17,6,2,1,5,0,0,0,2,1,3,1,0,0,0,2,1,0,0,0,4,3,5,80,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,3,13,1,1,0,0,0,1,5,1,0,3,1,0,2,1,0,0,0,0,0,3,1,1,1,8,1,0,1,1,2,1,0,0,0,1,5,2,0,27,8,1,2,0,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,42,0,0,2,7,4,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,7,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,1,0,5,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,1,23,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,0,2,1,0,5,0,2,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,2,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,11,2,2,2,0,0
27,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,19,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,2,0,0,1,1,1,1,0,0,1,0,0,0,0,5,3,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,0,0,1,0,0,23,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,2,3,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,1,2,0,1,5,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,1,0,1,0,6,1,1,0,0,0
28,1,0,1,4,5,0,0,0,2,2,0,0,0,5,0,1,0,0,0,1,0,4,2,1,0,0,0,0,1,1,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,6,2,0,0,0,0,0,0,3,3,1,0,5,1,3,0,0,1,0,0,7,0,0,6,3,0,0,0,0,1,1,3,0,0,0,0,2,7,4,0,0,0,0,1,0,0,46,2,69,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,13,0,2,5,2,3,0,0,0,7,1,1,1,0,0,0,1,13,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,1,0,12,0,0,9,5,0,0,0,0,0,0,0,2,3,0,11,3,8,0,0,0,1,0,1,0,0,0,0,0,1,2,21,0,1,28,0,2,3,1,16,28,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,5,1,0,0,0,0,0,0,0,0,1,4,3,0,9,2,4,0,0,0
29,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,28,4,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,1,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,5,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,8,2,1,0,4,0,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,5,0,0,20,0,0,0,0,0
30,1,1,1,0,1,2,0,0,1,0,0,0,6,1,0,1,1,0,0,0,0,1,3,1,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,5,2,2,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,0,30,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,0,2,1,1,0,0,2,0,0,1,2,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,1,3,0,0,1,0,0,0,1,2,1,0,5,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,2,1,0,2,0,1,0,0,5,1,0,17,1,0,1,1,0
31,1,0,0,0,2,0,0,0,0,0,0,0,1,5,0,2,0,0,4,1,0,1,1,6,0,1,0,5,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,1,1,0,2,1,0,0,0,0,0,0,3,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,2,0,0,1,6,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,4,0,1,1,0,0,5,2,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,9,0,0,31,0,0,2,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,4,0,1,0
32,0,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,3,40,1,2,0,3,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,1,1,0,6,1,2,0,0,1,0,0,0,0,3,3,2,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,16,1,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,3,0,3,0,0,0,6,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,4,13,0,2,2,0,0,0,2,0,8,1,0,0,4,0,0,0,0,0,0,1,0,6,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,10,3,0,1,2,2,0,3,0,0,0,0,0,0,0,0,5,3,1,29,1,0,0,0,0
33,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,3,0,0,0,3,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,3,5,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,0,0,1,0,11,5,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,2,1,0,0,16,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0
34,1,0,0,1,1,0,0,0,0,0,0,0,1,4,0,2,0,0,1,0,0,17,4,1,2,2,0,0,3,1,1,0,1,0,1,1,2,0,0,0,0,15,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,2,0,1,0,2,0,1,4,1,1,3,3,2,0,1,4,3,4,0,1,1,0,0,1,0,3,8,0,0,0,0,0,6,2,1,1,0,0,3,2,9,8,0,1,12,0,0,1,0,28,2,69,1,2,2,1,0,0,0,0,0,1,1,0,18,0,0,1,1,8,1,0,2,1,13,1,1,1,1,5,0,1,0,7,1,1,1,5,0,0,0,9,1,0,0,0,3,1,0,0,2,0,1,1,1,1,57,2,3,3,2,4,6,5,0,4,3,0,0,0,1,0,3,0,0,0,0,17,2,20,7,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,19,0,0,0,1,0,0,0,1,0,7,0,0,1,1,0,5,0,0,1,0,0,1,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,3,0,0,1,0,1,6,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,1,0,4,0,3,1,1,4,0,0,2,0,4,0,0,0,0,6,3,0,29,4,3,0,0,0
35,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,1,4,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,5,0,0,4,6,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
36,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,0,0,0,0,0,0,12,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,8,0,0,2,0,2,0,0,1,5,0,0,2,0,6,0,0,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,12,0,1,3,1,0,0,1,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,1,5,0,1,10,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,0,2,0
37,0,0,1,0,1,0,0,0,3,0,0,0,5,2,0,3,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,23,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,8,1,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,6,0,0,4,3,0,0,0,1,0,0,0,0,1,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,0,9,0,0,0,0,0
38,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10,0,1,0,6,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,34,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,9,0,1,0,0,0,1,0,0,0,3,1,1,1,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,16,0,32,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,27,0,1,0,0,2,0,0,0,3,0,0,0,0,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,5,0,0,1,0,1,0,2,21,1,0,0,0,1,0,6,0,6,0,2,0,5,0,0,0,0,0,0,0,0,1,3,0,1,9,0,2,19,5,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,0,0,1,2,0,0,2,1,1,2,1,0
39,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,29,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,3,2,1,0,0,0,0,0,0,4,3,2,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,6,3,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,1,0,1,4,0,9,0,1,4,1,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,4,0,0,0,11,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,4,0,1,1,0,3,0,1,0,1,1,0,0,0,0,0,2,1,0,21,0,0,0,0,1
40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,1,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,3,0,4,1,1,1,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,5,2,1,16,1,0,0,0,0
